2025-03-05,123,26
2025-03-05,asd,0
2025-03-05,ddd,0
2025-03-05,1,28
2025-03-05,3231231,38
2025-03-05,eee,
2025-03-05,ddd,2
2025-03-05,kk,
2025-03-05,docker,36
2025-03-06,1,
2025-03-06,1,
2025-03-06,222,
2025-03-06,111,10
2025-03-06,111,10
2025-03-06,ffff,
2025-03-10,111,10
2025-03-14,111,10
2025-03-14,11,0
2025-03-14,111,2
2025-03-14,12312312,0
2025-03-15,111,2
2025-03-15,newtest,18,"{"Професійні навички та розвиток TEST1!!!":"Іноді, але це залежить від завдання.","Кар’єрне зростання та можливості":"Так, я точно знаю, що хочу досягти.","Задоволеність роботою та баланс":"Так, я постійно хвилююся, що не зможу знайти хорошу роботу."}"
2025-03-15,newtest2,32,{"Професійні навички та розвиток TEST1!!!":"Іноді, але це не приносить впевненості., Відчуваю, що застряг на одному рівні, не росту., Іноді, але це залежить від завдання.","Кар’єрне зростання та можливості":"Є приблизне бачення, але все ще є багато сумнівів.","Самопрезентація та співбесіди":"Інколи, але не відчуваю себе впевнено.","Задоволеність роботою та баланс":"Іноді, коли я порівнюю себе з іншими."}
2025-03-15,```,8,{"Професійні навички та розвиток TEST1!!!":"Відчуваю, що застряг на одному рівні, не росту., Часто, я почуваюся недостатньо кваліфікованим.","Самопрезентація та співбесіди":"Дуже рідко, бо не знаю, що сказати про свої навички.","Задоволеність роботою та баланс":"Так, я постійно хвилююся, що не зможу знайти хорошу роботу."}
2025-03-15,asd,14,{"Професійні навички та розвиток TEST1!!!":"Майже ніколи, не знаю, що вивчати., Відчуваю, що застряг на одному рівні, не росту., Так, маю чіткий план, що буду робити і чому."}
2025-03-15,123,10,[{"question":"Як часто ви освоюєте нові інструменти або технології?","answer":"Майже ніколи, не знаю, що вивчати."},{"question":"Як ви оцінюєте свої технічні навички на поточному етапі кар’єри?","answer":"Відчуваю, що застряг на одному рівні, не росту."},{"question":"Чи відчуваєте ви стрес через конкуренцію на ринку праці?","answer":"Іноді, коли я порівнюю себе з іншими."}]
